PlayerName,CourseName,LayoutName,Päivämäärä,Kaikki,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24
Mako,Kirkkonummen Rata,Vols 18 (2020),2023-05-28 1457,66,7.0,3,4,3,4,5,3,3,4,3,4.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,2.0,,,,,,
Par,Ford Amateur DiscGolfPark (A1),Main,2023-05-27 0905,56,,3,3,3,3,3,4,3,3,3,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,,,,,,
Make,Ford Amateur DiscGolfPark (A1),Main,2023-05-27 0905,62,6.0,3,4,4,3,4,5,3,2,4,2.0,4.0,3.0,6.0,3.0,3.0,3.0,3.0,3.0,,,,,,
Sami,Ford Amateur DiscGolfPark (A1),Main,2023-05-27 0905,65,9.0,3,3,3,4,3,5,3,4,3,3.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,,,,,,
Tume,Ford Amateur DiscGolfPark (A1),Main,2023-05-27 0905,65,9.0,3,5,2,3,3,4,2,3,4,4.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,,,,,,
Esko ,Ford Amateur DiscGolfPark (A1),Main,2023-05-27 0905,64,8.0,3,4,4,3,3,8,3,3,3,3.0,3.0,3.0,6.0,2.0,4.0,3.0,3.0,3.0,,,,,,
Par,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2023-05-26 1501,58,,3,3,3,3,4,3,3,3,3,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,,,,,,
Tume,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2023-05-26 1501,68,10.0,3,4,4,3,3,4,4,3,3,4.0,4.0,3.0,4.0,3.0,7.0,6.0,3.0,3.0,,,,,,
Esko ,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2023-05-26 1501,76,18.0,6,4,3,4,4,4,4,3,3,4.0,3.0,4.0,4.0,3.0,5.0,10.0,5.0,3.0,,,,,,
Sami,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2023-05-26 1501,84,26.0,3,3,4,3,4,5,5,5,5,5.0,5.0,5.0,5.0,4.0,7.0,7.0,6.0,3.0,,,,,,
Timi,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2023-05-26 1501,73,15.0,4,3,4,4,4,4,3,4,5,5.0,3.0,4.0,3.0,3.0,6.0,7.0,4.0,3.0,,,,,,
Par,Nummelanharjun Frisbeegolfrata,Main,2023-05-23 1523,57,,2,3,3,3,4,4,3,3,3,4.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,,,,,,
Esko ,Nummelanharjun Frisbeegolfrata,Main,2023-05-23 1523,62,5.0,3,2,4,3,5,4,2,3,3,5.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,,,,,,
Sami,Nummelanharjun Frisbeegolfrata,Main,2023-05-23 1523,85,28.0,2,3,6,6,6,7,3,3,3,9.0,4.0,4.0,3.0,5.0,3.0,6.0,8.0,4.0,,,,,,
Mako,Nummelanharjun Frisbeegolfrata,Main,2023-05-23 1523,64,7.0,2,3,4,3,6,5,2,3,3,5.0,3.0,3.0,3.0,6.0,2.0,4.0,3.0,4.0,,,,,,
Kaskinen,Nummelanharjun Frisbeegolfrata,Main,2023-05-23 1523,76,19.0,3,3,5,4,5,6,4,4,3,4.0,4.0,3.0,4.0,7.0,2.0,6.0,4.0,5.0,,,,,,
Make,Nummelanharjun Frisbeegolfrata,Main,2023-05-23 1523,76,19.0,3,3,5,3,6,5,4,5,3,5.0,4.0,3.0,3.0,5.0,2.0,7.0,6.0,4.0,,,,,,
Par,Puolarmaari,Standard,2023-05-21 1953,60,,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,
Esko ,Puolarmaari,Standard,2023-05-21 1953,52,-8.0,1,3,2,3,4,2,3,2,3,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,,,,
Par,Varistonniitty,Main,2023-05-21 1138,60,,3,3,3,4,4,3,3,3,3,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,,,,,,
Tume,Varistonniitty,Main,2023-05-21 1138,80,20.0,5,5,3,6,3,4,3,6,5,4.0,5.0,4.0,3.0,3.0,6.0,6.0,3.0,6.0,,,,,,
Esko ,Varistonniitty,Main,2023-05-21 1138,76,16.0,3,3,4,4,5,3,4,3,6,6.0,5.0,4.0,3.0,4.0,6.0,6.0,3.0,4.0,,,,,,
Make,Varistonniitty,Main,2023-05-21 1138,86,26.0,4,4,4,5,4,4,4,5,4,8.0,5.0,4.0,4.0,4.0,8.0,7.0,4.0,4.0,,,,,,
Jarkko,Varistonniitty,Main,2023-05-21 1138,75,15.0,4,3,4,5,5,6,3,3,3,5.0,4.0,3.0,4.0,5.0,5.0,6.0,3.0,4.0,,,,,,
Kaskinen,Varistonniitty,Main,2023-05-21 1138,80,20.0,4,3,5,6,5,3,3,4,5,6.0,5.0,4.0,3.0,5.0,6.0,6.0,3.0,4.0,,,,,,
Sami,Varistonniitty,Main,2023-05-21 1138,95,35.0,5,4,5,7,5,3,5,4,5,6.0,7.0,5.0,4.0,7.0,7.0,6.0,4.0,6.0,,,,,,
Par,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2023-05-20 1028,58,,3,3,3,3,4,3,3,3,3,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,,,,,,
Kaskinen,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2023-05-20 1028,66,8.0,3,5,4,4,4,3,3,3,3,5.0,4.0,3.0,3.0,3.0,5.0,6.0,3.0,2.0,,,,,,
Tume,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2023-05-20 1028,77,19.0,3,4,6,3,7,4,4,3,3,6.0,3.0,4.0,4.0,4.0,7.0,5.0,4.0,3.0,,,,,,
Sami,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2023-05-20 1028,81,23.0,5,3,4,3,5,4,3,3,6,6.0,5.0,4.0,6.0,4.0,7.0,5.0,4.0,4.0,,,,,,
Esko ,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2023-05-20 1028,71,13.0,2,3,5,3,4,4,3,5,2,5.0,3.0,3.0,6.0,5.0,6.0,6.0,3.0,3.0,,,,,,
Par,Frisbeegolfkenttä Kaatis,Talvi-layout etutiit,2023-05-20 0700,74,,3,3,4,3,5,3,4,2,4,3.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,
Esko ,Frisbeegolfkenttä Kaatis,Talvi-layout etutiit,2023-05-20 0700,83,9.0,3,5,5,2,5,3,4,2,7,3.0,6.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,,
Mako,Frisbeegolfkenttä Kaatis,Talvi-layout etutiit,2023-05-20 0700,85,11.0,2,3,3,3,6,3,3,3,6,3.0,6.0,3.0,3.0,10.0,4.0,4.0,3.0,5.0,2.0,4.0,3.0,3.0,,
Par,Veikkolan frisbeegolfrata,Main,2023-05-19 1525,57,,3,3,3,3,3,3,3,3,3,3.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,,,,,,
Esko ,Veikkolan frisbeegolfrata,Main,2023-05-19 1525,66,9.0,2,4,4,2,4,4,3,3,4,2.0,3.0,6.0,2.0,4.0,3.0,8.0,5.0,3.0,,,,,,
Sami,Veikkolan frisbeegolfrata,Main,2023-05-19 1525,82,25.0,4,3,5,5,5,5,5,5,3,3.0,5.0,7.0,4.0,5.0,3.0,7.0,4.0,4.0,,,,,,
Tume,Veikkolan frisbeegolfrata,Main,2023-05-19 1525,78,21.0,3,5,4,5,4,4,3,4,5,3.0,4.0,6.0,5.0,3.0,2.0,8.0,5.0,5.0,,,,,,
Par,Varistonniitty,Main,2023-05-18 0836,60,,3,3,3,4,4,3,3,3,3,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,,,,,,
Esko ,Varistonniitty,Main,2023-05-18 0836,77,17.0,4,4,4,4,4,4,3,4,6,5.0,4.0,3.0,4.0,6.0,6.0,5.0,3.0,4.0,,,,,,
